ID,Label
D2-1,IA
,Human
D2-2,IA
D2-3,IA
D2-4,IA
D2-5,IA
D2-6,IA
D2-7,IA
D2-8,IA
D2-9,IA
D2-10,IA
D2-11,IA
D2-12,IA
D2-13,IA
D2-14,IA
D2-15,IA
D2-16,IA
D2-17,IA
D2-18,IA
D2-19,IA
D2-20,IA
D2-21,IA
,Human
D2-22,IA
D2-23,IA
D2-24,IA
D2-25,IA
D2-26,IA
D2-27,IA
D2-28,IA
D2-29,IA
D2-30,IA
D2-31,IA
D2-32,IA
D2-33,IA
D2-34,IA
D2-35,IA
D2-36,IA
D2-37,IA
D2-38,IA
D2-39,IA
D2-40,IA
D2-41,IA
D2-42,IA
D2-43,IA
D2-44,IA
D2-45,IA
D2-46,IA
D2-47,IA
D2-48,IA
D2-49,IA
D2-50,IA
D2-51,IA
D2-52,IA
D2-53,IA
D2-54,IA
D2-55,IA
D2-56,IA
D2-57,IA
D2-58,IA
D2-59,IA
D2-60,IA
D2-61,IA
D2-62,IA
D2-63,IA
D2-64,IA
D2-65,IA
D2-66,IA
D2-67,IA
D2-68,IA
D2-69,IA
D2-70,IA
D2-71,IA
D2-72,IA
D2-73,IA
D2-74,IA
D2-75,IA
D2-76,IA
D2-77,IA
D2-78,IA
D2-79,IA
D2-80,IA
D2-81,IA
D2-82,IA
D2-83,IA
D2-84,IA
D2-85,IA
,Human
D2-86,IA
D2-87,IA
D2-88,IA
D2-89,IA
D2-90,IA
D2-91,IA
D2-92,IA
D2-93,IA
D2-94,IA
D2-95,IA
D2-96,IA
D2-97,IA
D2-98,IA
D2-99,IA
D2-100,IA
